vehicle_id,year,period,data_format,start_date,end_date,row_count,data_source
VEH_01,2025,After,Long,2025-05-19 00:21:45+00:00,2025-06-17 03:31:25+00:00,2424,GeoTab
VEH_01,2025,After,Wide,2025-05-19 00:21:45+00:00,2025-06-17 03:31:25+00:00,1356,GeoTab
VEH_01,2025,Before,Long,2025-04-18 00:34:54.063000+00:00,2025-05-16 10:12:39.547000+00:00,5436,GeoTab
VEH_01,2025,Before,Wide,2025-04-18 00:34:54.063000+00:00,2025-05-16 10:12:39.547000+00:00,3483,GeoTab
VEH_01,2026,After,Long,2026-05-18 00:24:11.063000+00:00,2026-06-18 08:47:56.860000+00:00,82816,GeoTab
VEH_01,2026,After,Wide,2026-05-18 00:24:11.063000+00:00,2026-06-18 08:47:56.860000+00:00,78052,GeoTab
VEH_01,2026,Before,Long,2026-04-20 00:17:24.063000+00:00,2026-05-18 09:29:46.927000+00:00,80865,GeoTab
VEH_01,2026,Before,Wide,2026-04-20 00:17:24.063000+00:00,2026-05-18 09:29:46.927000+00:00,76151,GeoTab
VEH_01,2026,Final,Long,2026-06-18 00:40:28.063000+00:00,2026-07-16 09:06:15.287000+00:00,78796,GeoTab
VEH_01,2026,Final,Wide,2026-06-18 00:40:28.063000+00:00,2026-07-16 09:06:15.287000+00:00,74857,GeoTab
VEH_02,2025,After,Long,2025-05-21 02:22:21.063000+00:00,2025-06-19 08:51:50.487000+00:00,52098,GeoTab
VEH_02,2025,After,Wide,2025-05-21 02:22:21.063000+00:00,2025-06-19 08:51:50.487000+00:00,50201,GeoTab
VEH_02,2025,Before,Long,2025-04-19 00:44:55.030000+00:00,2025-04-25 09:26:23.277000+00:00,29058,GeoTab
VEH_02,2025,Before,Wide,2025-04-19 00:44:55.030000+00:00,2025-04-25 09:26:23.277000+00:00,28140,GeoTab
VEH_02,2026,After,Long,2026-05-19 00:09:40.063000+00:00,2026-06-19 08:37:50.477000+00:00,72664,GeoTab
VEH_02,2026,After,Wide,2026-05-19 00:09:40.063000+00:00,2026-06-19 08:37:50.477000+00:00,70190,GeoTab
VEH_02,2026,Before,Long,2026-04-20 00:22:39.127000+00:00,2026-05-15 07:48:53.410000+00:00,46075,GeoTab
VEH_02,2026,Before,Wide,2026-04-20 00:22:39.127000+00:00,2026-05-15 07:48:53.410000+00:00,44420,GeoTab
VEH_02,2026,Final,Long,2026-06-18 23:50:29.063000+00:00,2026-07-16 07:50:20.537000+00:00,58248,GeoTab
VEH_02,2026,Final,Wide,2026-06-18 23:50:29.063000+00:00,2026-07-16 07:50:20.537000+00:00,55568,GeoTab
VEH_03,2025,After,Long,2025-05-19 00:23:45.063000+00:00,2025-06-17 05:15:47.333000+00:00,31647,GeoTab
VEH_03,2025,After,Wide,2025-05-19 00:23:45.063000+00:00,2025-06-17 05:15:47.333000+00:00,29866,GeoTab
VEH_03,2025,Before,Long,2025-04-18 01:23:19.063000+00:00,2025-05-16 08:52:53.647000+00:00,14447,GeoTab
VEH_03,2025,Before,Wide,2025-04-18 01:23:19.063000+00:00,2025-05-16 08:52:53.647000+00:00,13647,GeoTab
VEH_03,2026,After,Long,2026-05-18 03:49:26.063000+00:00,2026-06-18 08:53:06.747000+00:00,52664,GeoTab
VEH_03,2026,After,Wide,2026-05-18 03:49:26.063000+00:00,2026-06-18 08:53:06.747000+00:00,50940,GeoTab
VEH_03,2026,Before,Long,2026-04-20 00:19:58.063000+00:00,2026-05-18 09:50:53.003000+00:00,45364,GeoTab
VEH_03,2026,Before,Wide,2026-04-20 00:19:58.063000+00:00,2026-05-18 09:50:53.003000+00:00,43789,GeoTab
VEH_03,2026,Final,Long,2026-06-18 01:35:50.063000+00:00,2026-07-16 09:11:26.957000+00:00,52681,GeoTab
VEH_03,2026,Final,Wide,2026-06-18 01:35:50.063000+00:00,2026-07-16 09:11:26.957000+00:00,51057,GeoTab
VEH_04,2025,After,Long,2025-05-19 00:41:49.063000+00:00,2025-06-18 08:30:47.703000+00:00,71333,GeoTab
VEH_04,2025,After,Wide,2025-05-19 00:41:49.063000+00:00,2025-06-18 08:30:47.703000+00:00,68655,GeoTab
VEH_04,2025,Before,Long,2025-04-18 01:11:06.063000+00:00,2025-05-16 09:21:45.923000+00:00,68000,GeoTab
VEH_04,2025,Before,Wide,2025-04-18 01:11:06.063000+00:00,2025-05-16 09:21:45.923000+00:00,65750,GeoTab
VEH_04,2026,After,Long,2026-05-18 00:23:10.063000+00:00,2026-06-18 09:28:24.690000+00:00,83077,GeoTab
