feature_1,feature_2,correlation,abs_correlation
max_speed_kmh,speed_std,0.9611573023063625,0.9611573023063625
trip_distance_km,trip_duration_min,0.942047983853627,0.942047983853627
avg_speed_kmh,speed_std,0.9319314182114878,0.9319314182114878
avg_speed_kmh,max_speed_kmh,0.886988443100971,0.886988443100971
max_rpm,rpm_std,0.8768959408616032,0.8768959408616032
avg_rpm,max_rpm,0.8549905270903111,0.8549905270903111
trip_distance_km,avg_speed_kmh,0.8097845597719282,0.8097845597719282
avg_rpm,rpm_std,0.7964426536907323,0.7964426536907323
trip_duration_min,avg_speed_kmh,0.7722287222668864,0.7722287222668864
trip_duration_min,speed_std,0.7438773080421289,0.7438773080421289
trip_duration_min,max_speed_kmh,0.7382247031579785,0.7382247031579785
trip_distance_km,speed_std,0.7201238321484341,0.7201238321484341
trip_distance_km,max_speed_kmh,0.6614803403181271,0.6614803403181271
rpm_std,high_rpm_ratio,0.5208327710909658,0.5208327710909658
max_rpm,high_rpm_ratio,0.5170216891119278,0.5170216891119278
max_speed_kmh,avg_rpm,0.43052991506166727,0.43052991506166727
avg_rpm,high_rpm_ratio,0.4202392153077278,0.4202392153077278
max_speed_kmh,max_rpm,0.4054192505694475,0.4054192505694475
day_of_week,is_weekend,0.38086365884879714,0.38086365884879714
avg_speed_kmh,trip_hour,-0.36943195077698565,0.36943195077698565
max_speed_kmh,rpm_std,0.3454710228568869,0.3454710228568869
speed_std,avg_rpm,0.34150990320345775,0.34150990320345775
speed_std,trip_hour,-0.33787000865933714,0.33787000865933714
trip_distance_km,trip_hour,-0.3352638964250855,0.3352638964250855
speed_std,max_rpm,0.2838962858537615,0.2838962858537615
max_speed_kmh,trip_hour,-0.27138379786674277,0.27138379786674277
avg_speed_kmh,idle_ratio,-0.27032156859876144,0.27032156859876144
speed_std,rpm_std,0.26371947586745875,0.26371947586745875
trip_distance_km,idle_ratio,-0.2610374592982389,0.2610374592982389
avg_speed_kmh,avg_rpm,0.26051532052581855,0.26051532052581855
trip_duration_min,trip_hour,-0.253441835870526,0.253441835870526
max_rpm,idle_ratio,0.21924638976479954,0.21924638976479954
max_speed_kmh,high_rpm_ratio,0.20921518195471875,0.20921518195471875
rpm_std,idle_ratio,0.19386178033652485,0.19386178033652485
speed_std,high_rpm_ratio,0.17450827102002922,0.17450827102002922
avg_speed_kmh,max_rpm,0.17446701916231053,0.17446701916231053
trip_duration_min,idle_ratio,-0.17215267397913397,0.17215267397913397
avg_speed_kmh,rpm_std,0.1605190631210819,0.1605190631210819
avg_speed_kmh,is_weekend,0.15670620862190265,0.15670620862190265
trip_distance_km,rpm_std,-0.15139655485005796,0.15139655485005796
speed_std,is_weekend,0.14896656470469682,0.14896656470469682
avg_rpm,idle_ratio,0.14821037662404454,0.14821037662404454
trip_distance_km,is_weekend,0.1436463271566663,0.1436463271566663
idle_ratio,trip_hour,0.13175096125984023,0.13175096125984023
max_rpm,trip_hour,0.12846285842709018,0.12846285842709018
trip_hour,is_weekend,-0.1261532919994237,0.1261532919994237
avg_speed_kmh,high_rpm_ratio,0.12555275177921918,0.12555275177921918
rpm_std,trip_hour,0.12501184246424568,0.12501184246424568
trip_distance_km,max_rpm,-0.12317266195763725,0.12317266195763725
speed_std,idle_ratio,-0.11900252417709849,0.11900252417709849
avg_rpm,is_weekend,-0.1183998129960596,0.1183998129960596
max_speed_kmh,is_weekend,0.11442253264920722,0.11442253264920722
trip_duration_min,is_weekend,0.10709244089016426,0.10709244089016426
speed_std,day_of_week,0.10621138154442128,0.10621138154442128
max_rpm,is_weekend,-0.10184544765529055,0.10184544765529055
avg_speed_kmh,day_of_week,0.10037243212930876,0.10037243212930876
max_speed_kmh,day_of_week,0.09899860443113612,0.09899860443113612
trip_duration_min,day_of_week,0.09820721702693627,0.09820721702693627
max_speed_kmh,idle_ratio,-0.09568260802000764,0.09568260802000764
trip_distance_km,day_of_week,0.09341874151590306,0.09341874151590306
avg_rpm,trip_hour,0.08332141444806086,0.08332141444806086
high_rpm_ratio,idle_ratio,0.08311020090025312,0.08311020090025312
rpm_std,is_weekend,-0.07185220332043282,0.07185220332043282
trip_distance_km,avg_rpm,-0.06656862259059079,0.06656862259059079
idle_ratio,is_weekend,-0.06545150172100385,0.06545150172100385
trip_duration_min,avg_rpm,0.05394063682961669,0.05394063682961669
avg_rpm,day_of_week,-0.049946885559414456,0.049946885559414456
trip_duration_min,rpm_std,-0.04871185255449673,0.04871185255449673
trip_hour,day_of_week,-0.03390388478096848,0.03390388478096848
max_rpm,day_of_week,-0.03214201448246904,0.03214201448246904
trip_duration_min,max_rpm,0.031247790164161824,0.031247790164161824
rpm_std,day_of_week,-0.027213124498648687,0.027213124498648687
idle_ratio,day_of_week,-0.02639780145219377,0.02639780145219377
high_rpm_ratio,is_weekend,-0.023845832846860274,0.023845832846860274
trip_duration_min,high_rpm_ratio,0.01951438590808322,0.01951438590808322
high_rpm_ratio,trip_hour,0.017073345410563382,0.017073345410563382
high_rpm_ratio,day_of_week,-0.015577156214891318,0.015577156214891318
trip_distance_km,high_rpm_ratio,-0.010229011884104263,0.010229011884104263
