,trip_distance_km,trip_duration_min,avg_speed_kmh,max_speed_kmh,speed_std,avg_rpm,max_rpm,rpm_std,high_rpm_ratio,idle_ratio,trip_hour,day_of_week,is_weekend,trip_fuel_used_liter
trip_distance_km,1.0,0.942047983853627,0.8097845597719282,0.6614803403181271,0.7201238321484341,-0.06656862259059079,-0.12317266195763725,-0.15139655485005796,-0.010229011884104263,-0.2610374592982389,-0.3352638964250855,0.09341874151590306,0.1436463271566663,0.9184540061786406
trip_duration_min,0.942047983853627,1.0,0.7722287222668864,0.7382247031579785,0.7438773080421289,0.05394063682961669,0.031247790164161824,-0.04871185255449673,0.01951438590808322,-0.17215267397913397,-0.253441835870526,0.09820721702693627,0.10709244089016426,0.8317371951054172
avg_speed_kmh,0.8097845597719282,0.7722287222668864,1.0,0.886988443100971,0.9319314182114878,0.26051532052581855,0.17446701916231053,0.1605190631210819,0.12555275177921918,-0.27032156859876144,-0.36943195077698565,0.10037243212930876,0.15670620862190265,0.7079399720893016
max_speed_kmh,0.6614803403181271,0.7382247031579785,0.886988443100971,1.0,0.9611573023063625,0.43052991506166727,0.4054192505694475,0.3454710228568869,0.20921518195471875,-0.09568260802000764,-0.27138379786674277,0.09899860443113612,0.11442253264920722,0.5375926233199414
speed_std,0.7201238321484341,0.7438773080421289,0.9319314182114878,0.9611573023063625,1.0,0.34150990320345775,0.2838962858537615,0.26371947586745875,0.17450827102002922,-0.11900252417709849,-0.33787000865933714,0.10621138154442128,0.14896656470469682,0.6083760970890798
avg_rpm,-0.06656862259059079,0.05394063682961669,0.26051532052581855,0.43052991506166727,0.34150990320345775,1.0,0.8549905270903111,0.7964426536907323,0.4202392153077278,0.14821037662404454,0.08332141444806086,-0.049946885559414456,-0.1183998129960596,-0.15351232208844756
max_rpm,-0.12317266195763725,0.031247790164161824,0.17446701916231053,0.4054192505694475,0.2838962858537615,0.8549905270903111,1.0,0.8768959408616032,0.5170216891119278,0.21924638976479954,0.12846285842709018,-0.03214201448246904,-0.10184544765529055,-0.2222674842162145
rpm_std,-0.15139655485005796,-0.04871185255449673,0.1605190631210819,0.3454710228568869,0.26371947586745875,0.7964426536907323,0.8768959408616032,1.0,0.5208327710909658,0.19386178033652485,0.12501184246424568,-0.027213124498648687,-0.07185220332043282,-0.22540784072486475
high_rpm_ratio,-0.010229011884104263,0.01951438590808322,0.12555275177921918,0.20921518195471875,0.17450827102002922,0.4202392153077278,0.5170216891119278,0.5208327710909658,1.0,0.08311020090025312,0.017073345410563382,-0.015577156214891318,-0.023845832846860274,-0.04207471671776703
idle_ratio,-0.2610374592982389,-0.17215267397913397,-0.27032156859876144,-0.09568260802000764,-0.11900252417709849,0.14821037662404454,0.21924638976479954,0.19386178033652485,0.08311020090025312,1.0,0.13175096125984023,-0.02639780145219377,-0.06545150172100385,-0.2615059836221156
trip_hour,-0.3352638964250855,-0.253441835870526,-0.36943195077698565,-0.27138379786674277,-0.33787000865933714,0.08332141444806086,0.12846285842709018,0.12501184246424568,0.017073345410563382,0.13175096125984023,1.0,-0.03390388478096848,-0.1261532919994237,-0.3519498098283275
day_of_week,0.09341874151590306,0.09820721702693627,0.10037243212930876,0.09899860443113612,0.10621138154442128,-0.049946885559414456,-0.03214201448246904,-0.027213124498648687,-0.015577156214891318,-0.02639780145219377,-0.03390388478096848,1.0,0.38086365884879714,0.0971370532919688
is_weekend,0.1436463271566663,0.10709244089016426,0.15670620862190265,0.11442253264920722,0.14896656470469682,-0.1183998129960596,-0.10184544765529055,-0.07185220332043282,-0.023845832846860274,-0.06545150172100385,-0.1261532919994237,0.38086365884879714,1.0,0.1674771769136398
trip_fuel_used_liter,0.9184540061786406,0.8317371951054172,0.7079399720893016,0.5375926233199414,0.6083760970890798,-0.15351232208844756,-0.2222674842162145,-0.22540784072486475,-0.04207471671776703,-0.2615059836221156,-0.3519498098283275,0.0971370532919688,0.1674771769136398,1.0
