model,feature_set,num_features,train_MAE,train_RMSE,train_R2,validation_MAE,validation_RMSE,validation_R2,MAE_gap,RMSE_gap,R2_gap,MAE_rank,RMSE_rank,R2_rank,test_MAE,test_RMSE,test_R2
XGBoost - Tuned Context,Context,13,0.2120176058304885,,,0.3505511060971426,1.7867548186783335,0.898881562083056,0.138533500266654,,,1.0,2.0,2.0,,,
XGBoost - Context,Context,13,0.2144758051615087,0.571903293727921,0.9879731003641096,0.3790920757894082,1.683339946939488,0.9102480098570724,0.1646162706278995,1.111436653211567,0.0777250905070371,2.0,1.0,1.0,,,
XGBoost - Extended,Extended,10,0.2544905557229066,0.7261668385369449,0.9806098434265348,0.4345094507103762,1.8658154300344552,0.8897349728935383,0.1800188949874696,1.1396485914975103,0.0908748705329964,3.0,3.0,3.0,,,
XGBoost - Baseline,Baseline,2,0.5120722804183956,1.67495455745298,0.8968392361952596,0.5810947500818764,2.261604185143463,0.8379930573332207,0.0690224696634808,0.5866496276904829,0.0588461788620389,4.0,4.0,4.0,,,
Linear Regression - Baseline,Baseline,2,0.6868240617882038,1.9382953713153328,0.8618507890961935,0.7495310737019282,2.4686311097601377,0.8069753279258437,0.0627070119137244,0.5303357384448049,0.0548754611703498,5.0,7.0,7.0,,,
Linear Regression - Extended,Extended,10,0.7417119623906981,1.893813449582894,0.8681188017738425,0.7999177746946116,2.438315110901618,0.8116870927781222,0.0582058123039134,0.5445016613187239,0.0564317089957202,6.0,6.0,6.0,,,
Linear Regression - Context,Context,13,0.7407225945220149,1.881427131028297,0.8698382748069198,0.8013741814161003,2.4138472489738434,0.815447473119249,0.0606515868940853,0.5324201179455463,0.0543908016876707,7.0,5.0,5.0,,,
Median Baseline,,0,,,,2.3295465994962217,6.026467454057234,-0.1503395694616969,,,,8.0,9.0,9.0,,,
Mean Baseline,,0,,,,3.275412150849158,5.619871480147263,-0.0003528083701691,,,,9.0,8.0,8.0,,,
FINAL - Tuned Context XGBoost,Context,13,,,,0.3506,1.7868,0.8989,,,,,,,0.3573,1.6166,0.9032
