feature,coefficient,abs_coefficient
high_rpm_ratio,12.967833288097834,12.967833288097834
is_weekend,0.5800871495978095,0.5800871495978095
trip_distance_km,0.2942950251652573,0.2942950251652573
idle_ratio,0.28613182451067265,0.28613182451067265
trip_hour,-0.05333633551066243,0.05333633551066243
trip_duration_min,-0.04863417012016405,0.04863417012016405
day_of_week,0.02579753452907216,0.02579753452907216
avg_speed_kmh,-0.02257024879089019,0.02257024879089019
speed_std,-0.019350431662609965,0.019350431662609965
max_speed_kmh,0.0030800177337765348,0.0030800177337765348
max_rpm,-0.0008712348676192879,0.0008712348676192879
rpm_std,0.0005342628960577654,0.0005342628960577654
avg_rpm,0.0003317836837194705,0.0003317836837194705
