feature,coefficient,abs_coefficient
high_rpm_ratio,13.559137989292822,13.559137989292822
trip_distance_km,0.30012816509080514,0.30012816509080514
idle_ratio,0.29453574635127117,0.29453574635127117
trip_duration_min,-0.05533604056402167,0.05533604056402167
avg_speed_kmh,-0.020175695532205256,0.020175695532205256
speed_std,-0.005916194208812478,0.005916194208812478
max_speed_kmh,0.002624812703880875,0.002624812703880875
max_rpm,-0.000864816518249698,0.000864816518249698
rpm_std,0.00022279036321714722,0.00022279036321714722
avg_rpm,0.00012323243355433949,0.00012323243355433949
