trip_id,vehicle_id,period,trip_distance_km,trip_duration_min,trip_fuel_used_liter,prediction,residual,absolute_error
VEH_05_FINAL_0073,VEH_05,Final,32.266872,27.866666666666667,66.41,17.467571,48.942428741455075,48.942428741455075
VEH_05_AFTER_0350,VEH_05,After,76.74454,69.11666666666666,43.96,20.038319,23.921681365966798,23.921681365966798
VEH_05_FINAL_0003,VEH_05,Final,76.74454,69.11666666666666,43.96,20.038319,23.921681365966798,23.921681365966798
VEH_06_AFTER_0489,VEH_06,After,31.380087,35.88333333333333,24.12,8.398948,15.721052284240724,15.721052284240724
VEH_12_AFTER_0415,VEH_12,After,0.14235808,4.065616666666667,0.23,12.983528,-12.75352813720703,12.75352813720703
VEH_05_AFTER_0302,VEH_05,After,57.38299,48.53333333333333,45.73,33.320896,12.409103851318356,12.409103851318356
VEH_05_AFTER_0324,VEH_05,After,57.18825,49.583333333333336,47.09,34.932976,12.157024230957035,12.157024230957035
VEH_05_FINAL_0116,VEH_05,Final,57.404858,46.95,46.35,34.96263,11.387368774414064,11.387368774414064
VEH_12_AFTER_0387,VEH_12,After,41.026283,49.98121666666667,1.18,11.6911335,-10.511133499145508,10.511133499145508
VEH_06_AFTER_0531,VEH_06,After,10.500323,20.766666666666666,12.12,3.1809208,8.939079160690307,8.939079160690307
VEH_12_FINAL_0112,VEH_12,Final,3.7610471,5.316666666666666,11.14,2.2949035,8.845096483230591,8.845096483230591
VEH_06_AFTER_0567,VEH_06,After,3.5864966,5.784383333333333,15.76,8.490636,7.269364128112793,7.269364128112793
VEH_06_FINAL_0006,VEH_06,Final,3.5864966,5.784383333333333,15.76,8.490636,7.269364128112793,7.269364128112793
VEH_11_AFTER_0227,VEH_11,After,125.38833,106.1,32.66,25.653078,7.006921920776364,7.006921920776364
VEH_11_FINAL_0069,VEH_11,Final,122.0004,121.91666666666669,33.87,27.635662,6.234337921142576,6.234337921142576
VEH_06_AFTER_0486,VEH_06,After,0.13860197,1.9666666666666663,0.13,5.591094,-5.461094017028809,5.461094017028809
VEH_06_FINAL_0176,VEH_06,Final,67.161125,57.39895,14.6,19.66064,-5.060640716552735,5.060640716552735
VEH_06_FINAL_0154,VEH_06,Final,5.930968,11.8,2.16,6.7915764,-4.631576385498047,4.631576385498047
VEH_11_FINAL_0013,VEH_11,Final,97.10695,88.96666666666667,26.56,22.067844,4.492155609130858,4.492155609130858
VEH_06_FINAL_0156,VEH_06,Final,0.33835387,3.6677166666666663,6.7,2.2502935,4.449706506729126,4.449706506729126
