feature,mean_abs_shap,mean_shap,importance_rank
trip_distance_km,2.6214075,-0.18664859,1
max_rpm,0.34840557,0.025363496,2
trip_hour,0.31746742,0.12102581,3
avg_rpm,0.15941732,0.07276062,4
trip_duration_min,0.12495728,-0.0122148385,5
max_speed_kmh,0.11166998,-0.0036405444,6
speed_std,0.07206389,0.026781969,7
avg_speed_kmh,0.06815323,-0.0021111441,8
rpm_std,0.06351712,-0.015590135,9
idle_ratio,0.040390275,0.011026811,10
day_of_week,0.014266187,0.0014807876,11
high_rpm_ratio,0.0013153772,0.00021240236,12
is_weekend,0.0,0.0,13
